collection	subCollection	icon	title	subtitle	imageFileName	titleEN	subtitleEN	titleES	subtitleES	titleFR	subtitleFR	titleIT	subtitleIT
meditation	zafu-meditationskissen-zen-halbmond	collection_icon_meditationskissen-zen-halbmond.svg	Zafu Halbmondkissen Siddha	Das Zafu-Meditationskissen im ergonomischen Halbmond-Design.	collection_moodshot_zafu-meditationskissen-zen-halbmond-2-1.jpg	Zafu Half Moon Cushion Siddha	The Zafu meditation cushion in ergonomic crescent design.	Cojín zafú media luna Siddha	El cojín de meditación zafú con ergonómico diseño media luna.	Coussin Zafu demi-lune Siddha	Le coussin de méditation Zafu au design ergonomique en demi-lune.	Cuscino Zafú a mezzaluna Siddha	Il cuscino da meditazione zafu con un design ergonomico a mezzaluna.
meditation	yogakissen-halbmond-shanti	collection_icon_yogakissen-halbmond-shanti.svg	Halbmondkissen Shanti	Ideal für das Sitzen mit übergekreuzten Beinen.	collection_moodshot_yogakissen-halbmond-shanti-2-1.jpg	Half Moon Cushion Shanti	Ideal for sitting with legs crossed.	Cojines de media luna SHANTI	Ideal para sentarse con las piernas cruzadas.	Coussin demi-lune Shanti	Idéal pour s'asseoir avec les jambes croisées.	Cuscino a mezzaluna Shanti	Ideale per sedersi con le gambe incrociate.
meditation	zafu-meditationskissen-zen-kapok	collection_icon_meditationskissen-zen.svg	Zafukissen Zen Kapok	Gefüllt mit naturbelassener, weicher Kapokfüllung.	collection_moodshot_zafu-meditationskissen-zen-kapok-2-1.jpg	Zafu Cushion Zen Kapok	Filled with natural soft kapok filling.	Cojín zafú Zen con miraguano	Relleno de miraguano natural y suave.	Coussin Zafu zen Kapok	Rempli de kapok naturel et doux.	Cuscino Zafú Zen con Kapok	Riempito con ripieno di kapok naturale e morbido.
meditation	meditationsmatte-zabuton-deluxe	collection_icon_meditationsmatte.svg	Meditationsmatte Zabuton Deluxe	Extra dicke Meditationsmatte für noch mehr Komfort.	collection_moodshot_meditationsmatte-zabuton-deluxe-2-1.jpg	Meditation Mat Zabuton Deluxe	Extra thick meditation mat for even more comfort.	Esterilla de meditación Zabuton Deluxe	Esterilla de meditación de gran espesor, para un mayor confort.	Tapis de méditation Zabuton Deluxe	Tapis de méditation extra épais pour encore plus de confort.	Tappetino da meditazione Zabuton Deluxe	Tappetino da meditazione spesso per un maggiore comfort.
meditation	meditationsmatte-zabuton-standard	collection_icon_meditationsmatte.svg	Meditationsmatte Zabuton Standard	Für mehr Komfort beim Meditieren für Knie und Beine.	collection_moodshot_meditationsmatte-zabuton-standard-2-1.jpg	Meditation Mat Zabuton Standard	Increased comfort for knees and legs while meditating.	Esterilla de meditación Zabuton estándar	Para una mayor comodidad en rodillas y piernas durante la meditación.	Tapis de méditation Zabuton Standard	Pour plus de confort lors de la méditation pour les genoux et les jambes.	Tappetino da meditazione Zabuton standard	Per un maggiore comfort su ginocchia e gambe durante la meditazione.
meditation	meditationsbank-dharma-gepolstert-standard	collection_icon_meditationsmatte.svg	Meditationsmatte Zabuton Standard	Für mehr Komfort beim Meditieren für Knie und Beine.	collection_moodshot_meditationsbank-dharma-gepolstert-standard-2-1.jpg	Meditation Mat Zabuton Standard	Increased comfort for knees and legs while meditating.	Esterilla de meditación Zabuton estándar	Para una mayor comodidad en rodillas y piernas durante la meditación.	Tapis de méditation Zabuton Standard	Pour plus de confort lors de la méditation pour les genoux et les jambes.	Tappetino da meditazione Zabuton standard	Per un maggiore comfort su ginocchia e gambe durante la meditazione.
meditation	meditationsbank-dharma-gepolstert-large	collection_icon_meditationsbank.svg	Meditationsbank Dharma gepolstert	Mit gepolsterter Sitzfläche, formschön und ergonomisch.	collection_moodshot_meditationsbank-dharma-gepolstert-large-2-1.jpg	Meditation Bench Dharma padded	With padded seat, beautifully shaped and ergonomic.	Banco de meditación acolchado DHARMA	Con superficie de sentado acolchada, estético y ergonómico.	Banc de méditation Dharma rembourré	Avec son siège rembourré, il est galbé et ergonomique.	Panca per meditazione imbottita Dharma	Con una superficie di seduta imbottita, estetica ed ergonomica.
meditation	meditationsbank-dharma	collection_icon_meditationsbank.svg	Meditationsbank Dharma	Perfekt für die komfortable Meditation im Kniesitz.	collection_moodshot_meditationsbank-dharma-2-1.jpg	Meditation Bench Dharma	Sheer comfort for kneeling meditation.	Banco de meditación Dharma	Perfecto para una meditación cómoda de rodillas.	Banc de méditation Dharma	Parfait pour méditer confortablement à genoux.	Panca per meditazione Dharma	Comfort assoluto per la meditazione in ginocchio.
yoga	yogamatte-thrive	collection_icon_yogamatte.svg	Yogamatte THRIVE	Hohe Dämpfung, 100% Recyclebar, Made in Spain.	collection_moodshot_yogamatte-thrive-2-1.jpg	Yoga Mat THRIVE	High cushioning, 100% Recyclable, Made in Spain.	Esterilla de yoga THRIVE	Alta amortiguación, 100% reciclable, fabricado en España.	Tapis de yoga THRIVE	Rembourrage élevé, 100% recyclable, fabriqué en Espagne.	Tappetino yoga THRIVE	Alta ammortizzazione, 100% riciclabile, prodotto in Spagna.
yoga	yogamatte-cork	collection_icon_yogamatte.svg	Yogamatte CORK	Besonders rutschfest bei Schweiß.	collection_moodshot_yogamatte-cork-2-1.jpg	Yoga Mat CORK	Particularly non-slip when sweating.	Esterilla de yoga CORK	Extra antideslizante durante la sudoración.	Tapis de yoga CORK	Particulièrement antidérapant en cas de transpiration.	Tappetino yoga CORK	Particolarmente antiscivolo durante la sudorazione.
yoga	yogamatte-mudra-studio	collection_icon_yogamatte.svg	Yogamatte Mudra Studio	Die perfekte Allround Yogamatte, leicht und vielseitig.	collection_moodshot_yogamatte-mudra-studio-2-1.jpg	Yoga Mat Mudra Studio	The perfect all-round yoga mat, lightweight and versatile.	Esterilla de yoga Mudra Studio	La perfecta esterilla de yoga con muchas aplicaciones, ligera y versátil.	Tapis de yoga Mudra Studio	Le tapis de yoga polyvalent idéal, léger et polyvalent.	Tappetino yoga Mudra Studio	Il perfetto tappetino da yoga a tutto tondo, leggero e versatile.
yoga	yogamatte-mudra-studio-xl	collection_icon_yogamatte.svg	Yogamatte Mudra Studio XL	Unsere Allround Yogamatte in XL Ausführung für mehr Platz.	collection_moodshot_yogamatte-mudra-studio-xl-2-1.jpg	Yoga Mat Mudra Studio XL	Our all-round yoga mat in XL design for more space.	Esterilla de yoga Mudra Studio XL	Nuestra versátil esterilla de yoga XL, para un mayor espacio.	Tapis de yoga Mudra Studio XL	Notre tapis de yoga polyvalent en version XL pour plus d'espace.	Tappetino yoga Mudra Studio XL	Il nostro tappetino da yoga versatile con design XL per più spazio.
yoga	yogamatte-pure	collection_icon_yogamatte.svg	Yogamatte PURE	Extrem rutschfeste PU-Oberfläche und Naturkautschuk Unterseite.	collection_moodshot_yogamatte-pure-2-1.jpg	Yoga Mat  PURE	Extremely non-slip PU surface and natural rubber underside.	Esterilla de yoga PURE	Superficie extra antideslizante de poliuretano y lado inferior de caucho natural.	Tapis de yoga PURE	Surface en polyuréthane extrêmement antidérapante et dessous en caoutchouc naturel.	Tappetino yoga PURE	Superficie in poliuretano extra antiscivolo e parte inferiore in caucciù naturale.
yoga	yogamatte-oeko	collection_icon_yogamatte.svg	Yogamatte OEKO	Aus 100% Naturkautschuk - verbindet Rutschfestigkeit und gute Dämpfung.	collection_moodshot_yogamatte-oeko-2-1.jpg	Yoga Mat OEKO	Made of 100% natural rubber - combines slip resistance and great cushioning.	Esterilla de yoga OEKO	100% caucho natural - combina las propiedades antideslizantes con una excelente amortiguación.	Tapis de yoga OEKO	Fabriqué en caoutchouc naturel à 100 % - allie résistance au glissement et bon amortissement.	Tappetino yoga OEKO	100% caucciù naturale: combina proprietà antiscivolo con un'eccellente ammortizzazione.
yoga	yogamatte-oeko-t	collection_icon_yogamatte.svg	Yogamatte OEKO Travel	Perfekt für unterwegs - extra dünn, faltbar und leicht.	collection_moodshot_yogamatte-oeko-t-2-1.jpg	Yoga Mat OEKO Travel	Perfect for on the go - extra thin, foldable and lightweight.	Esterilla de yoga OEKO Travel	Perfecta para transportar - extra fina, plegable y ligera.	Tapis de yoga OEKO Travel	Parfait pour les déplacements - extra fin, pliable et léger.	Tappetino yoga OEKO Travel	Perfetto per il trasporto: extra sottile, pieghevole e leggero.
yoga	yoga-block	collection_icon_yoga-block.svg	Yogablock aus Kork	Angenehm weiche, griffige Oberfläche, hergestellt aus Naturkork in Portugal.	collection_moodshot_yoga-block-2-1.jpg	Yoga Block Made From Cork	Pleasantly soft, non-slip surface, made in Portugal from natural cork.	Bloque de yoga de corcho	Superficie antideslizante y suave al tacto, fabricada con corcho natural procedente de Portugal.	Brique de yoga en liège	Surface agréablement douce et antidérapante, fabriquée en liège naturel au Portugal.	Blocco yoga in sughero	Superficie antiscivolo e morbida al tatto, realizzata con sughero naturale proveniente dal Portogallo.
yoga	yoga-gurt	collection_icon_yoga-gurt.svg	Yogagurt	Die bewährte Unterstützung für eine vertiefte Yogapraxis, aus 100% Bio-Baumwolle.	collection_moodshot_yoga-gurt-2-1.jpg	Yoga Strap	Essential tool for a deepened yoga practice, made of 100% organic cotton.	Correa de yoga	El complemento de eficacia probada para una práctica de yoga más avanzada, fabricado a partir de algodón 100% ecológico.	Sangle de yoga	Le support éprouvé pour une pratique de yoga plus profonde, fabriqué en coton 100% biologique.	Cinturino yoga	Strumento indispensabile per una pratica yoga approfondita, realizzato in 100% cotone biologico.
yoga	yogadecke	collection_icon_yogadecke.svg	Yogadecke Savasana	Ideal als unterstützende Unterlage oder für die Endentspannung.	collection_moodshot_yogadecke-2-1.jpg	Yoga Blanket Savasana	Ideal as a supportive prop or for final relaxation.	Toalla de yoga Savasana	Ideal como base de apoyo o para la relajación final.	Tapis de yoga Savasana	Idéal comme coussin de soutien ou pour la relaxation finale.	Coperta yoga Savasana	Ideale come base d'appoggio o per il relax finale.
yoga	yoga-handtuch	collection_icon_yoga-handtuch.svg	Yoga Handtuch	Perfekt für dynamische Yogastile mit rutschfester Unterseite.	collection_moodshot_yoga-handtuch-2-1.jpg	Yoga Towel	Perfect for dynamic yoga styles with non-slip base.	Toalla de yoga	Perfecta para un estilo de yoga dinámico, con lado inferior antideslizante.	Serviette de yoga	Parfait pour les styles de yoga dynamiques avec un fond antidérapant.	Asciugamano da yoga	Perfetto per stili di yoga dinamici con base antiscivolo.
yoga	yogatasche-pune	collection_icon_yogatasche.svg	Yogatasche PUNE	Sehr geräumige Tasche mit Schultergurt und praktischem Innenfach.	collection_moodshot_yogatasche-pune-2-1.jpg	Yoga Bag PUNE	Very spacious bag with shoulder strap and practical inner compartment.	Bolsa de yoga PUNE	Bolsa muy espaciosa con correa para el hombro y un práctico compartimento interno.	Sac de yoga PUNE	Sac très spacieux avec bandoulière et compartiment intérieur pratique.	Borsa yoga PUNE	Borsa molto capiente con tracolla e pratico scomparto interno.
yoga	yogatasche-rishikesh	collection_icon_yogatasche.svg	Yogatasche RISHIKESH	Stylische Yogatasche mit praktischem Kordelzug und Innenfach.	collection_moodshot_yogatasche-rishikesh-2-1.jpg	Yoga Bag RISHIKESH	Stylish yoga bag with practical drawstring and inner pocket.	Bolsa de yoga RISHIKESH	Elegante bolsa de yoga con práctico cordón y compartimento interno.	Sac de yoga RISHIKESH	Sac de yoga tendance avec cordon de serrage pratique et poche intérieure.	Borsa yoga RISHIKESH	Elegante borsa da yoga con pratica coulisse e tasca interna.
yoga	yogatasche-mysore	collection_icon_yogatasche.svg	Yogatasche MYSORE	Die Allrounder Tasche in kompakter Größe mit Aussenfach.	collection_moodshot_yogatasche-mysore-2-1.jpg	Yoga Bag MYSORE	The all-rounder bag in compact size with outer compartment.	Bolsa de yoga MYSORE	Bolsa versátil en tamaño compacto y con compartimento externo.	Sac de yoga MYSORE	Le sac polyvalent en format compact avec compartiment extérieur.	Borsa yoga MYSORE	Borsa versatile dalle dimensioni compatte e con scomparto esterno.
yoga	yoga-rolle	collection_icon_yogabolster.svg	Yogarolle Restorative	Ideal als Unterstützung für Yin Yoga Übungen.	collection_moodshot_yoga-rolle-2-1.jpg	Yoga Bolster Restorative	Ideal as a support prop for Yin Yoga practices.	Rodillo de yoga Restorative	Ideal como complemento durante los ejercicios del Yin Yoga.	Rouleau de restorative yoga	Idéal comme support pour les exercices de Yin Yoga.	Rullo yoga Restorative	Ideale come supporto per esercizi di Yin Yoga.
yoga	yoga-bolster-l	collection_icon_yogabolster.svg	Yoga Bolster Restorative L	Gefüllt mit elastisch-weicher Kapokwolle.	collection_moodshot_yoga-bolster-l-2-1.jpg	Yoga Bolster Restorative L	Filled with soft elastic kapok wool.	Bolster de yoga Restorative L	Relleno con miraguano elástico y blando.	Coussin bolster de yoga L	Rempli de laine kapok élastique et douce.	Bolster yoga Restorative L	Imbottito con morbida lana elastica di kapok.
yoga	yoga-bolster-s	collection_icon_yogabolster.svg	Yoga Bolster Restorative S	Rechteckiger Yoga Bolster in kompakter Größe.	collection_moodshot_yoga-bolster-s-2-1.jpg	Yoga Bolster Restorative S	Rectangular yoga bolster in compact size.	Bolster de yoga Restorative S	Bolster de yoga rectangular de tamaño compacto.	Coussin bolster de yoga S	Bolster de yoga rectangulaire en format compact.	Bolster yoga Restorative S	Cuscino yoga rettangolare di dimensioni compatte.
yoga	yogamatte-mudra-studio-12	collection_icon_yogamatte.svg	Yogamatte Mudra Studio 12er Pack	12er Spar-Pack: 12 Stück zum Preis von 8.	collection_moodshot_yogamatte-mudra-studio-12-2-1.jpg	Yoga Mat Mudra Studio Value-Pack of 12	12-pack: Get 12 pieces for the price of 8 and SAVE.	Esterilla de yoga Mudra Studio pack de 12 piezas	Paquete de ahorro de 12 piezas: 12 piezas por el precio de 8	Tapis de yoga Mudra Studio pack de 12	Pack de 12 : 12 pièces pour le prix de 8.	Tappetino yoga Mudra Studio  Confezione da 12	Confezione risparmio da 12: 12 pezzi al prezzo di 8.
yoga	yogamatte-mudra-studio-xl-12	collection_icon_yogamatte.svg	Yogamatte Mudra Studio XL 12er Pack	12er Spar-Pack: 12 Stück zum Preis von 8.	collection_moodshot_yogamatte-mudra-studio-xl-12-2-1.jpg	Yoga Mat Mudra Studio XL Value-Pack of 12	Pack of 12: Get 12 for the price of 8 and SAVE.	Esterilla de yoga Mudra Studio XL pack de 12 piezas	Paquete de ahorro de 12 piezas: 12 piezas por el precio de 8	Tapis de yoga Mudra Studio XL pack de 12	Pack de 12 : 12 pièces pour le prix de 8.	Tappetino yoga Mudra Studio XL Confezione da 12	Confezione risparmio da 12: 12 pezzi al prezzo di 8.
accessories	malas	collection_icon_malas.svg	Mala Gebetsketten	Traditionelle Hals- und Gebetsketten handgefertigt in Indien.	collection_moodshot_malas-2-1.jpg	Mala Prayer Beads	Traditional necklace and prayer beads handmade in India.	Malas de oración	Collares y cadenas de oración fabricados a mano en la India.	Collier de méditation Mala	Colliers traditionnels et chaînes de méditation fabriqués à la main en Inde.	Collana di meditazione Mala	Collane e rosari tradizionali  realizzati a mano in India.
accessories	trinkflasche	collection_icon_trinkflasche.svg	Edelstahl Trinkflasche	Doppelwand Design: hält Getränke bis zu 24h eiskalt und 18h heiß.	collection_moodshot_trinkflasche-2-1.jpg	Stainless Steel Drink Bottle	Double wall design: keeps drinks up to 24h ice cold and 18h hot.	Botella de acero inoxidable	Diseño de doble pared: mantiene las bebidas frías hasta 24 horas y 18 horas calientes.	Gourde en acier inoxydable	Conception à double paroi : garde les boissons jusqu'à 24h glacées et 18h chaudes.	Borraccia in acciaio inossidabile	Design a doppia parete: mantiene le bevande fino a 24 ore ghiacciate e 18 ore calde.
accessories	yogamatten-sticker	collection_icon_yogamatten-sticker.svg	Yogamatten Sticker	Verleih deiner Matte das gewisse Etwas.	collection_moodshot_yogamatten-sticker-2-1.jpg	Yoga Mat Stickers	Add that special touch to your mat.	Adhesivos de esterillas de yoga	Dale a tu esterilla ese toque especial.	Autocollant pour tapis de yoga	Donnez à votre tapis ce petit quelque chose.	Adesivo per tappetino yoga	Dai al tuo tappetino quel tocco speciale.
accessories	geschenk-gutscheine	collection_icon_geschenk-gutscheine.svg	Geschenkgutscheine	Perfekt um deinen Liebsten Freude zu bereiten.	collection_moodshot_geschenk-gutscheine-2-1.jpg	Gift Vouchers	Perfect to bring joy to those you love.	Tarjetas de regalo	Alegra a tus seres queridos.	Bon d'achat	Parfait pour apporter de la joie à vos proches.	Buoni regalo	Perfetto per portare gioia a chi ami.
accessories	fullmaterial	collection_icon_fullmaterial.svg	Bio Dinkelspelzen Füllmaterial	Bio Dinkelspelzen (kbA) aus Deutschland zur Füllung von Kissen.	collection_moodshot_fullmaterial-2-1.jpg	Organic Spelt Husks - Filling	Organic spelt husks ( certified) from Germany for filling cushions.	Relleno de espelta ecológica	Espelta ecológica (cultivo controlado) de Alemania, para rellenar cojines.	Bourre de cosses d'épeautre biologique	Cosses d'épeautre biologique (kbA) d'Allemagne pour remplir les oreillers.	Ripieno di pula di farro biologico	Pula di farro biologico (kbA) dalla Germania per imbottire cuscini.
all	yogamatte-thrive	collection_icon_yogamatte.svg	Yogamatte THRIVE	Hohe Dämpfung, 100% Recyclebar, Made in Spain.	collection_moodshot_yogamatte-thrive-2-1.jpg	Yoga Mat THRIVE	High cushioning, 100% Recyclable, Made in Spain.	Esterilla de yoga THRIVE	Alta amortiguación, 100% reciclable, fabricado en España.	Tapis de yoga THRIVE	Rembourrage élevé, 100% recyclable, fabriqué en Espagne.	Tappetino yoga THRIVE	Alta ammortizzazione, 100% riciclabile, prodotto in Spagna.
all	yogamatte-cork	collection_icon_yogamatte.svg	Yogamatte CORK	Besonders rutschfest bei Schweiß.	collection_moodshot_yogamatte-cork-2-1.jpg	Yoga Mat CORK	Particularly non-slip when sweating.	Esterilla de yoga CORK	Extra antideslizante durante la sudoración.	Tapis de yoga CORK	Particulièrement antidérapant en cas de transpiration.	Tappetino yoga CORK	Particolarmente antiscivolo durante la sudorazione.
all	yogamatte-mudra-studio	collection_icon_yogamatte.svg	Yogamatte Mudra Studio	Die perfekte Allround Yogamatte, leicht und vielseitig.	collection_moodshot_yogamatte-mudra-studio-2-1.jpg	Yoga Mat Mudra Studio	The perfect all-round yoga mat, lightweight and versatile.	Esterilla de yoga Mudra Studio	La perfecta esterilla de yoga con muchas aplicaciones, ligera y versátil.	Tapis de yoga Mudra Studio	Le tapis de yoga polyvalent idéal, léger et polyvalent.	Tappetino yoga Mudra Studio	Il perfetto tappetino da yoga a tutto tondo, leggero e versatile.
all	yogamatte-pure	collection_icon_yogamatte.svg	Yogamatte PURE	Extrem rutschfeste PU-Oberfläche und Naturkautschuk Unterseite.	collection_moodshot_yogamatte-pure-2-1.jpg	Yoga Mat  PURE	Extremely non-slip PU surface and natural rubber underside.	Esterilla de yoga PURE	Superficie extra antideslizante de poliuretano y lado inferior de caucho natural.	Tapis de yoga PURE	Surface en PU extrêmement antidérapante et dessous en caoutchouc naturel.	Tappetino yoga PURE	Superficie in poliuretano extra antiscivolo e parte inferiore in caucciù naturale.
all	yoga-block	collection_icon_yoga-block.svg	Yogablock aus Kork	Angenehm weiche, griffige Oberfläche, hergestellt aus Naturkork in Portugal.	collection_moodshot_yoga-block-2-1.jpg	Yoga Block Made Of Cork	Pleasantly soft, non-slip surface, made in Portugal from natural cork.	Bloque de yoga de corcho	Superficie antideslizante y suave al tacto, fabricada con corcho natural procedente de Portugal.	Brique de yoga en liège	Le support éprouvé pour une pratique de yoga plus profonde, fabriqué en coton 100% biologique.	Blocco yoga in sughero	Superficie antiscivolo e morbida al tatto, realizzata con sughero naturale proveniente dal Portogallo.
all	yoga-gurt	collection_icon_yoga-gurt.svg	Yogagurt	Die bewährte Unterstützung für eine vertiefte Yogapraxis, aus 100% Bio-Baumwolle.	collection_moodshot_yoga-gurt-2-1.jpg	Yoga Strap	Essential tool for a deepened yoga practice, made of 100% organic cotton.	Correa de yoga	El complemento de eficacia probada para una práctica de yoga más avanzada, fabricado a partir de algodón 100% ecológico.	Sangle de yoga	Le support éprouvé pour une pratique de yoga plus profonde, fabriqué en coton 100% biologique.	Cinturino yoga	Strumento indispensabile per una pratica yoga approfondita, realizzato in 100% cotone biologico.
all	yoga-handtuch	collection_icon_yoga-handtuch.svg	Yoga Handtuch	Perfekt für dynamische Yogastile mit rutschfester Unterseite.	collection_moodshot_yoga-handtuch-2-1.jpg	Yoga Towel	Perfect for dynamic yoga styles with non-slip base.	Toalla de yoga	Perfecta para un estilo de yoga dinámico, con lado inferior antideslizante.	Serviette de yoga	Parfait pour les styles de yoga dynamiques avec un fond antidérapant.	Asciugamano da yoga	Perfetto per stili di yoga dinamici con base antiscivolo.
all	yogamatte-mudra-studio-xl	collection_icon_yogamatte.svg	Yogamatte Mudra Studio XL	Unsere Allround Yogamatte in XL Ausführung für mehr Platz.	collection_moodshot_yogamatte-mudra-studio-xl-2-1.jpg	Yoga Mat Mudra Studio XL	Our all-round yoga mat in XL design for more space.	Esterilla de yoga Mudra Studio XL	Nuestra versátil esterilla de yoga XL, para un mayor espacio.	Tapis de yoga Mudra Studio XL	Notre tapis de yoga polyvalent en version XL pour plus d'espace.	Tappetino yoga Mudra Studio XL	Il nostro tappetino da yoga versatile con design XL per più spazio.
all	yogamatte-oeko	collection_icon_yogamatte.svg	Yogamatte OEKO	Aus 100% Naturkautschuk - verbindet Rutschfestigkeit und gute Dämpfung.	collection_moodshot_yogamatte-oeko-2-1.jpg	Yoga Mat OEKO	Made of 100% natural rubber - combines slip resistance and great cushioning.	Esterilla de yoga OEKO	100% caucho natural - combina las propiedades antideslizantes con una excelente amortiguación.	Tapis de yoga OEKO	Fabriqué en caoutchouc naturel à 100 % - allie résistance au glissement et bon amortissement.	Tappetino yoga OEKO	100% caucciù naturale: combina proprietà antiscivolo con un'eccellente ammortizzazione.
all	yogamatte-oeko-t	collection_icon_yogamatte.svg	Yogamatte OEKO Travel	Perfekt für unterwegs - extra dünn, faltbar und leicht.	collection_moodshot_yogamatte-oeko-t-2-1.jpg	Yoga Mat OEKO Travel	Perfect for on the go - extra thin, foldable and lightweight.	Esterilla de yoga OEKO Travel	Perfecta para transportar - extra fina, plegable y ligera.	Tapis de yoga OEKO Travel	Parfait pour les déplacements - extra fin, pliable et léger.	Tappetino yoga OEKO Travel	Perfetto per il trasporto: extra sottile, pieghevole e leggero.
all	meditationskissen-lotus-h-15cm-ohne-bestickung	collection_icon_meditationskissen-lotus-h-15cm.svg	Meditationskissen Lotus 15cm - ohne Bestickung	Das perfekte Rundkissen für vielseitige Einsatzmöglichkeiten ohne Bestickung.	collection_moodshot_meditationskissen-lotus-h-15cm-ohne-bestickung-2-1.jpg	Meditation Cushion Lotus 15cm - no stitching	The perfect round cushion (no stitiching) with a multitude of uses.	Cojín de meditación Lotus 15cm - sin bordado	El cojín redondo perfecto para múltiples posibilidades de uso, sin bordado.	Coussin de méditation Lotus 15cm - sans broderie	Le coussin rond parfait pour une utilisation polyvalente sans broderie.	Cuscino da meditazione Lotus 15cm - senza ricamo	Il cuscino rotondo perfetto per un uso versatil - senza ricamo.
all	meditationskissen-lotus-h-15cm	collection_icon_meditationskissen-lotus-h-15cm.svg	Meditationskissen Lotus 15cm	Das perfekte Rundkissen für vielseitige Einsatzmöglichkeiten.	collection_moodshot_meditationskissen-lotus-h-15cm-2-1.jpg	Meditation Cushion Lotus 15cm	The perfect round cushion for diverse uses.	Cojín de meditación Lotus 15cm	El cojín redondo perfecto para múltiples posibilidades de uso.	Coussin de méditation Lotus 15cm	Le coussin rond parfait pour des applications polyvalentes.	Cuscino da meditazione Lotus 15cm	Il cuscino rotondo perfetto per un uso versatile.
