collection	subCollection	icon	title	subtitle	imageFileName	titleEN	subtitleEN	titleES	subtitleES	titleFR	subtitleFR	titleIT	subtitleIT
all	meditationskissen-lotus-hoch-h-20cm	collection_icon_meditationskissen-lotus-h-20cm.svg	Meditationskissen Lotus 20cm	Perfekt bei großer Körpergröße oder wenig Hüftflexibilität.	collection_moodshot_meditationskissen-lotus-hoch-h-20cm-2-1.jpg	Meditation Cushion Lotus 20cm	Perfect for larger body sizes or limited hip flexibility.	Cojín de meditación Lotus 20cm	Perfecto para personas de cuerpo grande o con poca flexibilidad de cadera.	Coussin de méditation Lotus 20cm	Parfait pour les personnes de grande taille ou ayant peu de souplesse au niveau des hanches.	Cuscino da meditazione Lotus 20cm	Perfetto per le persone con un corpo grande o con poca flessibilità dell'anca.
all	meditationsmatte-zabuton-deluxe	collection_icon_meditationsmatte.svg	Meditationsmatte Zabuton Deluxe	Extra dicke Meditationsmatte für noch mehr Komfort.	collection_moodshot_meditationsmatte-zabuton-deluxe-2-1.jpg	Meditation Mat Zabuton Deluxe	Extra thick meditation mat for even more comfort.	Esterilla de meditación Zabuton Deluxe	Esterilla de meditación de gran espesor, para un mayor confort.	Tapis de méditation Zabuton Deluxe	Tapis de méditation extra épais pour encore plus de confort.	Tappetino da meditazione Zabuton Deluxe	Tappetino da meditazione spesso per un maggiore comfort.
all	meditationsmatte-zabuton-standard	collection_icon_meditationsmatte.svg	Meditationsmatte Zabuton Standard	Für mehr Komfort beim Meditieren für Knie und Beine.	collection_moodshot_meditationsmatte-zabuton-standard-2-1.jpg	Meditation Mat Zabuton Standard	Increased comfort for knees and legs while meditating.	Esterilla de meditación Zabuton estándar	Para una mayor comodidad en rodillas y piernas durante la meditación.	Tapis de méditation Zabuton Standard	Pour plus de confort lors de la méditation pour les genoux et les jambes.	Tappetino da meditazione Zabuton standard	Per un maggiore comfort su ginocchia e gambe durante la meditazione.
all	meditationskissen-lotus-klein-h-10-cm	collection_icon_meditationskissen-lotus-h-10-cm.svg	Meditationskissen Lotus 10cm	Perfekt bei kleiner Körpergröße oder hoher Hüftflexibilität.	collection_moodshot_meditationskissen-lotus-klein-h-10-cm-2-1.jpg	Meditation Cushion Lotus 10cm	Perfect for shorter body sizes or for more hip flexibility.	Cojín de meditación Lotus 10cm	Perfecto para personas de cuerpo pequeño o con mucha flexibilidad de cadera.	Coussin de méditation Lotus 10cm	Parfait pour les petits gabarits ou pour une grande souplesse des hanches.	Cuscino da meditazione Lotus 10cm	Perfetto per le persone con un corpo piccolo o con molta flessibilità dell'anca.
all	zafu-meditationskissen-zen	collection_icon_meditationskissen-zen.svg	Zafukissen Zen	Das klassische Zafukissen mit viel Sitzfläche.	collection_moodshot_zafu-meditationskissen-zen-2-1.jpg	Zafu Cushion Zen	The classic zafu cushion with a generous surface to sit on.	Cojín zafú Zen	El clásico cojín zafú Zen con amplia superficie de sentado.	Coussin Zafu zen	Le coussin zafu classique avec beaucoup d'espace pour s'asseoir.	Cuscino Zafú Zen	Il classico cuscino Zafu con tanto spazio per sedersi.
all	zafu-meditationskissen-zen-halbmond	collection_icon_meditationskissen-zen-halbmond.svg	Zafu Halbmondkissen Siddha	Das Zafu-Meditationskissen im ergonomischen Halbmond-Design.	collection_moodshot_zafu-meditationskissen-zen-halbmond-2-1.jpg	Zafu Half Moon Cushion Siddha	The Zafu meditation cushion in ergonomic crescent design.	Cojín zafú media luna Siddha	El cojín de meditación zafú con ergonómico diseño media luna.	Coussin demi-lune Siddha	Le coussin de méditation Zafu au design ergonomique en demi-lune.	Cuscino Zafú a mezzaluna Siddha	Il cuscino da meditazione zafu con un design ergonomico a mezzaluna.
all	yogakissen-halbmond-shanti	collection_icon_yogakissen-halbmond-shanti.svg	Halbmondkissen Shanti	Ideal für das Sitzen mit übergekreuzten Beinen.	collection_moodshot_yogakissen-halbmond-shanti-2-1.jpg	Half Moon Cushion Shanti	Ideal for sitting with legs crossed.	Cojines de media luna SHANTI	Ideal para sentarse con las piernas cruzadas.	Coussin demi-lune Shanti	Idéal pour s'asseoir avec les jambes croisées.	Cuscino a mezzaluna Shanti	Ideale per sedersi con le gambe incrociate.
all	zafu-meditationskissen-zen-kapok	collection_icon_meditationskissen-zen.svg	Zafukissen Zen Kapok	Gefüllt mit naturbelassener, weicher Kapokfüllung.	collection_moodshot_zafu-meditationskissen-zen-kapok-2-1.jpg	Zafu Cushion Zen Kapok	Filled with natural soft kapok filling.	Cojín zafú Zen con miraguano	Relleno de miraguano natural y suave.	Coussin Zafu Kapok	Rempli de kapok naturel et doux.	Cuscino Zafú Zen con Kapok	Riempito con ripieno di kapok naturale e morbido.
all	yoga-rolle	collection_icon_yogabolster.svg	Yogarolle Restorative	Ideal als Unterstützung für Yin Yoga Übungen.	collection_moodshot_yoga-rolle-2-1.jpg	Yoga Bolster Restorative	Ideal as a support prop for Yin Yoga practices.	Rodillo de yoga Restorative	Ideal como complemento durante los ejercicios del Yin Yoga.	Rouleau de restorative yoga	Idéal comme support pour les exercices de Yin Yoga.	Rullo yoga Restorative	Ideale come supporto per esercizi di Yin Yoga.
all	yoga-bolster-l	collection_icon_yogabolster.svg	Yoga Bolster Restorative L	Gefüllt mit elastisch-weicher Kapokwolle.	collection_moodshot_yoga-bolster-l-2-1.jpg	Yoga Bolster Restorative L	Filled with soft elastic kapok wool.	Bolster de yoga Restorative L	Relleno con miraguano elástico y blando.	Coussin bolster de yoga L	Rempli de laine kapok élastique et douce.	Bolster yoga Restorative L	Imbottito con morbida lana elastica di kapok.
all	yoga-bolster-s	collection_icon_yogabolster.svg	Yoga Bolster Restorative S	Rechteckiger Yoga Bolster in kompakter Größe.	collection_moodshot_yoga-bolster-s-2-1.jpg	Yoga Bolster Restorative S	Rectangular yoga bolster in compact size.	Bolster de yoga Restorative S	Bolster de yoga rectangular de tamaño compacto.	Coussin bolster de yoga S	Bolster de yoga rectangulaire en format compact.	Bolster yoga Restorative S	Cuscino yoga rettangolare di dimensioni compatte.
all	yogadecke	collection_icon_yogadecke.svg	Yogadecke Savasana	Ideal als unterstützende Unterlage oder für die Endentspannung.	collection_moodshot_yogadecke-2-1.jpg	Yoga Blanket Savasana	Ideal as a supportive prop or for final relaxation.	Toalla de yoga Savasana	Ideal como base de apoyo o para la relajación final.	Couverture de yoga Savasana	Idéal comme coussin de soutien ou pour la relaxation finale.	Coperta yoga Savasana	Ideale come base d'appoggio o per il relax finale.
all	yogatasche-pune	collection_icon_yogatasche.svg	Yogatasche PUNE	Sehr geräumige Tasche mit Schultergurt und praktischem Innenfach.	collection_moodshot_yogatasche-pune-2-1.jpg	Yoga Bag PUNE	Very spacious bag with shoulder strap and practical inner compartment.	Bolsa de yoga PUNE	Bolsa muy espaciosa con correa para el hombro y un práctico compartimento interno.	Sac de yoga PUNE	Sac très spacieux avec bandoulière et compartiment intérieur pratique.	Borsa yoga PUNE	Borsa molto capiente con tracolla e pratico scomparto interno.
all	yogatasche-rishikesh	collection_icon_yogatasche.svg	Yogatasche RISHIKESH	Stylische Yogatasche mit praktischem Kordelzug und Innenfach.	collection_moodshot_yogatasche-rishikesh-2-1.jpg	Yoga Bag RISHIKESH	Stylish yoga bag with practical drawstring and inner pocket.	Bolsa de yoga RISHIKESH	Elegante bolsa de yoga con práctico cordón y compartimento interno.	Sac de yoga RISHIKESH	Sac de yoga tendance avec cordon de serrage pratique et poche intérieure.	Borsa yoga RISHIKESH	Elegante borsa da yoga con pratica coulisse e tasca interna.
all	yogatasche-mysore	collection_icon_yogatasche.svg	Yogatasche MYSORE	Die Allrounder Tasche in kompakter Größe mit Aussenfach.	collection_moodshot_yogatasche-mysore-2-1.jpg	Yoga Bag MYSORE	The all-rounder bag in compact size with outer compartment.	Bolsa de yoga MYSORE	Bolsa versátil en tamaño compacto y con compartimento externo.	Sac de yoga MYSORE	Le sac polyvalent en format compact avec compartiment extérieur.	Borsa yoga MYSORE	Borsa versatile dalle dimensioni compatte e con scomparto esterno.
all	meditationsbank-dharma-gepolstert-standard	collection_icon_meditationsbank.svg	Meditationsbank Dharma gepolstert Standard	Mit gepolsterter Sitzfläche, formschön und ergonomisch.	collection_moodshot_meditationsbank-dharma-gepolstert-standard-2-1.jpg	Meditation Bench Dharma padded standard	With padded seat, beautifully shaped and ergonomic.	Banco de meditación acolchado DHARMA	Con superficie de sentado acolchada, estético y ergonómico.	Banc de méditation Dharma rembourré Standard	Avec son siège rembourré, il est galbé et ergonomique.	Panca da meditazione Dharma  imbottita standard	Con una superficie di seduta imbottita, estetica ed ergonomica.
all	meditationsbank-dharma-gepolstert-large	collection_icon_meditationsbank.svg	Meditationsbank Dharma gepolstert Large	Für eine Körpergröße ab 180cm.	collection_moodshot_meditationsbank-dharma-gepolstert-large-2-1.jpg	Meditation Bench Dharma padded large	Suitable for body height 180cm+.	Banco de meditación acolchado DHARMA Grande	Para una altura de más de 180 cm.	Banc de méditation Dharma Large	Pour une taille de corps à partir de 180cm.	Panca da meditazione Dharma imbottita grande	Per un'altezza superiore a 180 cm.
all	meditationsbank-dharma	collection_icon_meditationsbank.svg	Meditationsbank Dharma	Perfekt für die komfortable Meditation im Kniesitz.	collection_moodshot_meditationsbank-dharma-2-1.jpg	Meditation Bench Dharma	Sheer comfort for kneeling meditation.	Banco de meditación Dharma	Perfecto para una meditación cómoda de rodillas.	Banc de méditation Dharma	Parfait pour méditer confortablement à genoux.	Panca per meditazione Dharma	Comfort assoluto per la meditazione in ginocchio.
all	malas	collection_icon_malas.svg	Mala Gebetsketten	Traditionelle Hals- und Gebetsketten handgefertigt in Indien.	collection_moodshot_malas-2-1.jpg	Mala Prayer Beads	Traditional necklace and prayer beads handmade in India.	Malas de oración	Collares y cadenas de oración fabricados a mano en la India.	Collier de méditation Mala	Colliers traditionnels et chaînes de méditation fabriqués à la main en Inde.	Collana di meditazione Mala	Collane e rosari tradizionali  realizzati a mano in India.
all	trinkflasche	collection_icon_trinkflasche.svg	Edelstahl Trinkflasche	Doppelwand Design: hält Getränke bis zu 24h eiskalt und 18h heiß.	collection_moodshot_trinkflasche-2-1.jpg	Stainless Steel Drink Bottle	Double wall design: keeps drinks up to 24hrs ice cold and 18hrs hot.	Botella de acero inoxidable	Diseño de doble pared: mantiene las bebidas frías hasta 24 horas y 18 horas calientes.	Gourde en acier inoxydable	Conception à double paroi : garde les boissons jusqu'à 24h glacées et 18h chaudes.	Borraccia in acciaio inossidabile	Design a doppia parete: mantiene le bevande fino a 24 ore ghiacciate e 18 ore calde.
all	fullmaterial	collection_icon_fullmaterial.svg	Bio Dinkelspelzen Füllmaterial	Bio Dinkelspelzen (kbA) aus Deutschland zur Füllung von Kissen.	collection_moodshot_fullmaterial-2-1.jpg	Organic Spelt Husks - Filling	Organic spelt husks ( certified) from Germany for filling cushions.	Relleno de espelta ecológica	Espelta ecológica (cultivo controlado) de Alemania, para rellenar cojines.	Bourre de cosses d'épeautre biologique	Cosses d'épeautre biologique (kbA) d'Allemagne pour remplir les oreillers.	Ripieno di pula di farro biologico	Pula di farro biologico (kbA) dalla Germania per imbottire cuscini.
all	yogamatten-sticker	collection_icon_yogamatten-sticker.svg	Yogamatten Sticker	Verleih deiner Matte das gewisse Etwas.	collection_moodshot_yogamatten-sticker-2-1.jpg	Yoga Mat Stickers	Give your mat that certain something.	Adhesivos de esterillas de yoga	Dale a tu esterilla ese toque especial.	Autocollant pour tapis de yoga	Donnez à votre tapis ce petit quelque chose.	Adesivo per tappetino yoga	Dai al tuo tappetino quel tocco speciale.
all	geschenk-gutscheine	collection_icon_geschenk-gutscheine.svg	Geschenkgutscheine	Perfekt um deinen Liebsten Freude zu bereiten.	collection_moodshot_geschenk-gutscheine-2-1.jpg	Gift Vouchers	Perfect for bringing joy to your loved ones.	Tarjetas de regalo	Alegra a tus seres queridos.	Bon d'achat	Parfait pour apporter de la joie à vos proches.	Buoni regalo	Perfetto per portare gioia a chi ami.
all	yogamatte-mudra-studio-12	collection_icon_yogamatte.svg	Yogamatte Mudra Studio 12er Pack	12er Spar-Pack: 12 Stück zum Preis von 8.	collection_moodshot_yogamatte-mudra-studio-12-2-1.jpg	Yoga Mat Mudra Studio Value-Pack of 12	12-pack: Get 12 pieces for the price of 8 and SAVE.	Esterilla de yoga Mudra Studio pack de 12 piezas	Paquete de ahorro de 12 piezas: 12 piezas por el precio de 8	Tapis de yoga Mudra Studio - pack de 12	Pack de 12 : 12 pièces pour le prix de 8.	Tappetino yoga Mudra Studio  Confezione da 12	Confezione risparmio da 12: 12 pezzi al prezzo di 8.
all	yogamatte-mudra-studio-xl-12	collection_icon_yogamatte.svg	Yogamatte Mudra Studio XL 12er Pack	12er Spar-Pack: 12 Stück zum Preis von 8.	collection_moodshot_yogamatte-mudra-studio-xl-12-2-1.jpg	Yoga Mat Mudra Studio XL Value-Pack of 12	Pack of 12: Get 12 for the price of 8 and SAVE.	Esterilla de yoga Mudra Studio XL pack de 12 piezas	Paquete de ahorro de 12 piezas: 12 piezas por el precio de 8	Tapis de yoga Mudra Studio XL- pack de 12	Pack de 12 : 12 pièces pour le prix de 8.	Tappetino yoga Mudra Studio XL Confezione da 12	Confezione risparmio da 12: 12 pezzi al prezzo di 8.
all	organic-womens-yoga-pant		Organic Womens Yoga Pant	Perfekt sitzende Yogahose mit High-Waist Bund.	collection_moodshot_organic-womens-yoga-pant-2-1.jpg	Organic Women's Yoga Pant		Pantalones de yoga orgánicos para mujer		Pantalon de yoga biologique pour femmes		Pantaloni da yoga organici da donna	
all	organic-womens-bra-top		Organic Womens Bra Top	Stylisch in jeder Asana bei höchstem Tragekomfort.	collection_moodshot_organic-womens-bra-top-2-1.jpg	Organic Women's Bra Top		Sujetador/top para mujer orgánico		Haut de soutien-gorge biologique pour femmes		Top reggiseno biologico da donna	
all	organic-mens-yoga-short		Organic Mens Yoga Short	Natürlich, angenehm zu tragen und trotzdem sportlich.	collection_moodshot_organic-mens-yoga-short-2-1.jpg	Organic Men's Yoga Short		Pantalones cortos de yoga orgánicos para hombre		Short de yoga biologique pour hommes		Pantaloncini da yoga organici da uomo	
all	organic-womens-yoga-pant-3-4		Organic Womens Yoga Pant 3/4	3/4 Yoga-Hose in weicher Baumwoll-Stretch-Qualität.	collection_moodshot_organic-womens-yoga-pant-3-4-2-1.jpg	Organic Women's Yoga Pant 3/4		Pantalones de yoga orgánicos para mujer 3/ 4		Pantalon de yoga 3/4 biologique pour femmes		Pantaloni a 3/4 da yoga organici da donna	
all	organic-womens-racerback-top		Organic Womens Racerback Top	Vielseitiges Top mit perfektem Sitz ohne zu verrutschen.	collection_moodshot_organic-womens-racerback-top-2-1.jpg	Organic Women's Racerback Top		Camisilla de yoga orgánica para mujer		Débardeur de yoga biologique pour femmes		Canotta da yoga organica da donna	
all	organic-mens-yoga-pant		Organic Mens Yoga Pant	Die perfekt sitzende Bio-Baumwoll Yoga- und Freizeithose.	collection_moodshot_organic-mens-yoga-pant-2-1.jpg	Organic Men's Yoga Pant		Pantalones de yoga orgánicos para hombre		Pantalon de yoga biologique pour hommes		Pantaloni da yoga organici da uomo	
all	organic-womens-yoga-leggings		Organic Womens Yoga Leggings	Perfekte Kombination aus Tragekomfort, Passform und Formstabilität.	collection_moodshot_organic-womens-yoga-leggings-2-1.jpg	Organic Women's Yoga Leggings		Leggings de yoga orgánicos para mujer		Leggings de yoga biologique pour femmes		Leggings da yoga organici da donna	
all	organic-womens-yoga-hoodie		Organic Womens Yoga Hoodie	Kuschlig, bequemes Tragegefühl aus weicher Bio-Baumwolle.	collection_moodshot_organic-womens-yoga-hoodie-2-1.jpg	Organic Women's Yoga Hoodie		Sudadera de yoga orgánica para mujer		Sweat de yoga biologique pour femmes		Felpa da yoga organica da donna	
all	organic-mens-yoga-tank-top		Organic Mens Yoga Tank Top	Ein echtes Yoga Essential für Männer.	collection_moodshot_organic-mens-yoga-tank-top-2-1.jpg	Organic Men's Yoga Tank Top		Camisilla de yoga orgánica para hombre		Débardeur de yoga biologique pour hommes		Canotta da yoga organica da uomo	
yogakleidung-herren	organic-mens-yoga-short		Organic Mens Yoga Short	Natürlich, angenehm zu tragen und trotzdem sportlich.	collection_moodshot_organic-mens-yoga-short-2-1.jpg	Organic Men's Yoga Short	Natural, comfortable to wear yet still sporty.	Pantalones cortos de yoga orgánicos para hombre	Naturales, cómodos e informales.	Short de yoga biologique pour hommes	Naturel, confortable à porter et toujours sportif.	Pantaloncini da yoga organici da uomo	Naturale, comodo da indossare e sempre sportivo.
yogakleidung-herren	organic-mens-yoga-pant		Organic Mens Yoga Pant	Die perfekt sitzende Bio-Baumwoll Yoga- und Freizeithose.	collection_moodshot_organic-mens-yoga-pant-2-1.jpg	Organic Men's Yoga Short	Organic cotton yoga/casual trousers that fit perfectly.	Pantalones de yoga orgánicos para hombre	Los pantalones de yoga y de ocio de algodón orgánico con un ajuste perfecto.	Pantalon de yoga biologique pour hommes	Le pantalon de yoga et de loisirs en coton biologique parfaitement adapté.	Pantaloni da yoga organici da uomo	I pantaloni da yoga e per il tempo libero in cotone biologico con una vestibilità perfetta.
yogakleidung-herren	organic-mens-yoga-tank-top		Organic Mens Yoga Tank Top	Ein echtes Yoga Essential für Männer.	collection_moodshot_organic-mens-yoga-tank-top-2-1.jpg	Organic Men's Yoga Tank Top	A true yoga essential for men.	Camisilla de yoga orgánica para hombre	Una prenda realmente imprescindible para los hombres que practican yoga.	Débardeur de yoga biologique pour hommes	Un véritable essentiel du yoga pour les hommes.	Canotta da yoga organica da uomo	Un accessorio yoga essenziale per gli uomini.
yogakleidung-damen	organic-womens-yoga-pant		Organic Womens Yoga Pant	Perfekt sitzende Yogahose mit High-Waist Bund.	collection_moodshot_organic-womens-yoga-pant-2-1.jpg	Organic Women's Yoga Pant	High-waisted yoga pants for a perfect fit.	Pantalones de yoga orgánicos para mujer	Pantalones de yoga de cintura alta, con un ajuste perfecto.	Pantalon de yoga biologique pour femmes	Pantalon de yoga parfaitement ajusté avec une taille haute.	Pantaloni da yoga organici da donna	Pantaloni da yoga a vita alta, dalla vestibilità perfetta.
yogakleidung-damen	organic-womens-bra-top		Organic Womens Bra Top	Stylisch in jeder Asana bei höchstem Tragekomfort.	collection_moodshot_organic-womens-bra-top-2-1.jpg	Organic Women's Bra Top	Stylish for every asana with maximum wearing comfort.	Sujetador/top para mujer orgánico	El estilo se une a la comodidad de uso máxima en cada asana.	Haut de soutien-gorge biologique pour femmes	Élégant dans toutes les asanas et très confortable à porter.	Top reggiseno biologico da donna	Lo stile incontra il massimo comfort in ogni asana.
yogakleidung-damen	organic-womens-yoga-pant-3-4		Organic Womens Yoga Pant 3/4	3/4 Yoga-Hose in weicher Baumwoll-Stretch-Qualität.	collection_moodshot_organic-womens-yoga-pant-3-4-2-1.jpg	Organic Women's Yoga Pant 3/4	3/4 yoga pants in soft cotton stretch quality.	Pantalones de yoga orgánicos para mujer 3/ 4	Pantalones de yoga 3/4 en suave algodón elástico de calidad	Pantalon de yoga 3/4 biologique pour femmes	Pantalon de yoga 3/4 en coton doux et extensible.	Pantaloni a 3/4 da yoga organici da donna	Pantaloni da yoga a 3/4 in morbido cotone elasticizzato di qualità
yogakleidung-damen	organic-womens-racerback-top		Organic Womens Racerback Top	Vielseitiges Top mit perfektem Sitz ohne zu verrutschen.	collection_moodshot_organic-womens-racerback-top-2-1.jpg	Organic Women's Racerback Top	Versatile top with a perfect fit that won't slip out of place.	Camisilla de yoga orgánica para mujer	Top versátil con un ajuste perfecto, sin deslizamientos.	Top biologique pour femmes	Haut polyvalent avec un ajustement parfait sans glissement.	Canotta da yoga organica da donna	Top versatile dalla vestibilità perfetta, senza scivolare.
yogakleidung-damen	organic-womens-yoga-leggings		Organic Womens Yoga Leggings	Perfekte Kombination aus Tragekomfort, Passform und Formstabilität.	collection_moodshot_organic-womens-yoga-leggings-2-1.jpg	Organic Women's Yoga Leggings	Perfect combination of comfort, fit and lasting shape.	Leggings de yoga orgánicos para mujer	La combinación perfecta de comodidad, ajuste y estabilidad de forma.	Leggings de yoga biologique pour femmes	Une combinaison parfaite de confort, d'ajustement et de maintien de la forme.	Leggings da yoga organici da donna	La perfetta combinazione di comfort, vestibilità e stabilità della forma.
yogakleidung-damen	organic-womens-yoga-hoodie		Organic Womens Yoga Hoodie	Kuschlig, bequemes Tragegefühl aus weicher Bio-Baumwolle.	collection_moodshot_organic-womens-yoga-hoodie-2-1.jpg	Organic Women's Yoga Hoodie	Cosy, comfortable feel made from soft organic cotton.	Sudadera de yoga orgánica para mujer	Mullido y agradable al tacto, fabricado con suave algodón orgánico.	Sweat de yoga biologique pour femmes	Douceur et confort en coton biologique doux.	Felpa da yoga organica da donna	Morbido e piacevole al tatto, realizzato con morbido cotone biologico.
yoga-kleidung	organic-womens-yoga-pant		Organic Womens Yoga Pant	Perfekt sitzende Yogahose mit High-Waist Bund.	collection_moodshot_organic-womens-yoga-pant-2-1.jpg	Organic Women's Yoga Pant		Pantalones de yoga orgánicos para mujer		Pantalon de yoga biologique pour femmes		Pantaloni da yoga organici da donna	
yoga-kleidung	organic-womens-bra-top		Organic Womens Bra Top	Stylisch in jeder Asana bei höchstem Tragekomfort.	collection_moodshot_organic-womens-bra-top-2-1.jpg	Organic Women's Bra Top		Sujetador/top para mujer orgánico		Haut de soutien-gorge biologique pour femmes		Top reggiseno biologico da donna	
yoga-kleidung	organic-mens-yoga-short		Organic Mens Yoga Short	Natürlich, angenehm zu tragen und trotzdem sportlich.	collection_moodshot_organic-mens-yoga-short-2-1.jpg	Organic Men's Yoga Short		Pantalones cortos de yoga orgánicos para hombre		Short de yoga biologique pour hommes		Pantaloncini da yoga organici da uomo	
yoga-kleidung	organic-womens-yoga-pant-3-4		Organic Womens Yoga Pant 3/4	3/4 Yoga-Hose in weicher Baumwoll-Stretch-Qualität.	collection_moodshot_organic-womens-yoga-pant-3-4-2-1.jpg	Organic Women's Yoga Pant 3/4		Pantalones de yoga orgánicos para mujer 3/ 4		Pantalon de yoga 3/4 biologique pour femmes		Pantaloni a 3/4 da yoga organici da donna	
yoga-kleidung	organic-womens-racerback-top		Organic Womens Racerback Top	Vielseitiges Top mit perfektem Sitz ohne zu verrutschen.	collection_moodshot_organic-womens-racerback-top-2-1.jpg	Organic Women's Racerback Top		Camisilla de yoga orgánica para mujer		Débardeur de yoga biologique pour femmes		Canotta da yoga organica da donna	
yoga-kleidung	organic-mens-yoga-pant		Organic Mens Yoga Pant	Die perfekt sitzende Bio-Baumwoll Yoga- und Freizeithose.	collection_moodshot_organic-mens-yoga-pant-2-1.jpg	Organic Men's Yoga Pant		Pantalones de yoga orgánicos para hombre		Pantalon de yoga biologique pour hommes		Pantaloni da yoga organici da uomo	
yoga-kleidung	organic-womens-yoga-leggings		Organic Womens Yoga Leggings	Perfekte Kombination aus Tragekomfort, Passform und Formstabilität.	collection_moodshot_organic-womens-yoga-leggings-2-1.jpg	Organic Women's Yoga Leggings		Leggings de yoga orgánicos para mujer		Leggings de yoga biologique pour femmes		Leggings da yoga organici da donna	
yoga-kleidung	organic-womens-yoga-hoodie		Organic Womens Yoga Hoodie	Kuschlig, bequemes Tragegefühl aus weicher Bio-Baumwolle.	collection_moodshot_organic-womens-yoga-hoodie-2-1.jpg	Organic Women's Yoga Hoodie		Sudadera de yoga orgánica para mujer		Sweat de yoga biologique pour femmes		Felpa da yoga organica da donna	
yoga-kleidung	organic-mens-yoga-tank-top		Organic Mens Yoga Tank Top	Ein echtes Yoga Essential für Männer.	collection_moodshot_organic-mens-yoga-tank-top-2-1.jpg	Organic Men's Yoga Tank Top		Camisilla de yoga orgánica para hombre		Débardeur de yoga biologique pour hommes		Canotta da yoga organica da uomo	